hdi_rank,Country,educ_index_2000,educ_index_2013,Country Code 2000,pov_2000,pov_2013,GDP_Country_Name,Country_Code2,gdp_2000,gdp_2013,Country_Name2,Region_2013,povhc_pct_y2,numpoor_y2,pop_y2,survey_coverage_y2,Region_2000,povhc_pct_y1,numpoor_y1,pop_y1,survey_coverage_y1,name,Country Name,Country Code,elec2000,elec2013
2,Australia,89.54,92.65,AUS,,,Australia,AUS,415000,1580000,Australia,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Australia,Australia,AUS,100,100
7,New Zealand,88.46,91.68,NZL,,,New Zealand,NZL,52623,191000,New Zealand,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,New Zealand,New Zealand,NZL,100,100
9,Singapore,60.61,76.78,SGP,,,Singapore,SGP,96074,308000,Singapore,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Singapore,Singapore,SGP,100,100
17,Japan,76.7,80.8,JPN,,1.2,Japan,JPN,4890000,5160000,Japan,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Japan,Japan,JPN,100,100
19,Israel,81.98,85.43,ISR,,,Israel,ISR,132000,293000,Israel,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Israel,Israel,ISR,100,100
30,Brunei Darussalam,64.65,69.21,BRN,,,Brunei Darussalam,BRN,6001,18094,Brunei Darussalam,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Brunei Darussalam,Brunei Darussalam,BRN,100,100
31,Qatar,61.24,68.57,QAT,,,Qatar,QAT,17760,199000,Qatar,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Qatar,Qatar,QAT,100,100
34,Saudi Arabia,56.53,72.32,SAU,,,Saudi Arabia,SAU,190000,747000,Saudi Arabia,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Saudi Arabia,Saudi Arabia,SAU,100,100
39,Malta,61.57,73.25,MLT,,0.2,Malta,MLT,4070,10552,Malta,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Malta,Malta,MLT,100,100
40,United Arab Emirates,60.41,67.32,ARE,,0,United Arab Emirates,ARE,104000,390000,United Arab Emirates,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,United Arab Emirates,United Arab Emirates,ARE,100,100
44,Bahrain,65.61,71.4,BHR,,,Bahrain,BHR,9063,32539,Bahrain,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Bahrain,Bahrain,BHR,100,100
46,Kuwait,63.67,64.58,KWT,,,Kuwait,KWT,37713,174000,Kuwait,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Kuwait,Kuwait,KWT,100,100
